,Index_A,Index_B,Index_C,Index_D,Index_E,Index_F
2015-01-01,4230.240234375,2058.199951171875,15.412327766418457,4240.746335350258,58.3353385925293,314.2489929199219
2015-01-02,4230.240234375,2058.199951171875,15.412327766418457,4227.315778326039,58.3353385925293,315.0320129394531
2015-01-05,4160.9599609375,2020.5799560546875,15.192513465881348,4243.939624941086,56.967529296875,274.4739990234375
2015-01-06,4110.830078125,2002.6099853515625,15.048789978027344,4262.454145258658,56.21035385131836,286.1889953613281
2015-01-07,4160.0,2025.9000244140625,14.955792427062988,4225.287609241153,56.780277252197266,294.3370056152344
2015-01-08,4240.5498046875,2062.139892578125,15.014972686767578,4156.088788421293,58.042236328125,283.3489990234375
2015-01-09,4213.27978515625,2044.81005859375,14.989608764648438,4143.289455833741,57.48859786987305,290.4079895019531
2015-01-12,4169.97021484375,2028.260009765625,14.659889221191406,4175.96264236638,57.38277053833008,267.7959899902344
2015-01-13,4166.2001953125,2023.030029296875,14.6007080078125,4230.595657109589,56.97568130493164,225.86099243164062
2015-01-14,4145.83984375,2011.27001953125,14.76133918762207,4224.709571475621,56.943119049072266,178.10299682617188
2015-01-15,4089.64990234375,1992.6700439453125,14.558433532714844,4160.308024963452,56.55231475830078,209.843994140625
2015-01-16,4142.14013671875,2019.4200439453125,14.83742904663086,4156.498578361064,57.30949401855469,208.0970001220703
2015-01-19,4142.14013671875,2019.4200439453125,14.83742904663086,4150.855527880714,57.30949401855469,214.86099243164062
2015-01-20,4171.2099609375,2022.550048828125,14.63452434539795,4050.526670515145,57.602596282958984,211.31500244140625
2015-01-21,4192.08984375,2032.1199951171875,14.727523803710938,4106.415879785779,57.496734619140625,226.89700317382812
2015-01-22,4270.35986328125,2063.14990234375,14.710614204406738,4130.4947680025225,58.213199615478516,233.406005859375
2015-01-23,4278.14013671875,2051.820068359375,14.6176176071167,4150.086304648067,57.83869934082031,232.87899780273438
2015-01-26,4275.72021484375,2057.090087890625,14.566890716552734,4198.6766090069905,58.56332015991211,273.4729919433594
2015-01-27,4165.5,2029.550048828125,14.642977714538574,4250.9719154462555,58.392330169677734,263.4750061035156
2015-01-28,4140.3798828125,2002.1600341796875,14.431619644165039,4247.929970969155,57.578163146972656,233.9149932861328
2015-01-29,4181.35009765625,2021.25,14.363986015319824,4307.053735189444,57.439762115478516,233.51300048828125
2015-01-30,4148.43017578125,1994.989990234375,14.710614204406738,4160.797644101616,56.88611602783203,226.4250030517578
2015-02-02,4188.58984375,2020.8499755859375,14.913517951965332,4141.777844913562,57.88754653930664,238.22900390625
2015-02-03,4229.14990234375,2050.030029296875,15.327783584594727,4151.5632428184545,58.367919921875,227.26800537109375
2015-02-04,4221.2001953125,2041.510009765625,14.989608764648438,4137.138507173278,57.9852409362793,226.85299682617188
2015-02-05,4256.18017578125,2062.52001953125,15.192513465881348,4190.912889913507,58.62845993041992,217.11099243164062
2015-02-06,4228.68017578125,2055.469970703125,15.234786987304688,4204.811280465981,58.47374725341797,222.26600646972656
2015-02-09,4216.08984375,2046.739990234375,15.386963844299316,4229.129678054596,58.050392150878906,220.11000061035156
2015-02-10,4281.16015625,2068.590087890625,15.192513465881348,4243.398043357052,58.61217498779297,219.83900451660156
2015-02-11,4297.27978515625,2068.530029296875,15.074155807495117,4222.512777895499,58.61217498779297,219.18499755859375
2015-02-12,4347.97021484375,2088.47998046875,15.302419662475586,4203.4055980663115,59.18207931518555,221.76400756835938
2015-02-13,4384.02978515625,2096.989990234375,15.47150707244873,4320.809654059054,59.434478759765625,235.427001953125
2015-02-16,4384.02978515625,2096.989990234375,15.47150707244873,4296.98977840114,59.434478759765625,233.84300231933594
2015-02-17,4385.33984375,2100.340087890625,15.479959487915039,4324.975736768675,59.963680267333984,243.61000061035156
