,ActiveNodes,TxVolume,HashRate
2015-01-01,3442.7818358843992,2525477744.050598,200.0
2015-01-02,3442.7818358843992,2476356392.512512,200.0
2015-01-05,3442.7818358843992,12066645524.267578,200.0
2015-01-06,3442.7818358843992,6652663529.470825,200.0
2015-01-07,3442.7818358843992,7319219451.23291,200.0
2015-01-08,3442.7818358843992,5662021372.98584,200.0
2015-01-09,3442.7818358843992,5436030992.29126,200.0
2015-01-12,3442.7818358843992,5056068629.812622,200.0
2015-01-13,3442.7818358843992,16452596450.035156,200.0
2015-01-14,3442.7818358843992,17389745788.623535,200.0
2015-01-15,3442.7818358843992,17159678694.234375,200.0
2015-01-16,3442.7818358843992,7995294841.690063,200.0
2015-01-19,3442.7818358843992,4008940855.0872803,200.0
2015-01-20,3442.7818358843992,5082358255.218506,200.0
2015-01-21,3442.7818358843992,6789802061.175537,200.0
2015-01-22,3442.7818358843992,7829511104.150391,200.0
2015-01-23,3442.7818358843992,5733876820.199585,200.0
2015-01-26,3442.7818358843992,29205274701.59912,200.0
2015-01-27,3442.7818358843992,11698026795.98999,200.0
2015-01-28,3442.7818358843992,10374644565.22522,200.0
2015-01-29,3442.7818358843992,7522247689.929199,200.0
2015-01-30,3442.7818358843992,6024082491.192627,200.0
2015-02-02,3442.7818358843992,7292690090.478516,200.0
2015-02-03,3442.7818358843992,9268830150.653076,200.0
2015-02-04,3442.7818358843992,6032996653.494263,200.0
2015-02-05,3442.7818358843992,4888557949.987793,200.0
2015-02-06,3442.7818358843992,5431136547.889709,200.0
2015-02-09,3442.7818358843992,6117143059.962463,200.0
2015-02-10,3442.7818358843992,4641922564.268494,200.0
2015-02-11,3442.7818358843992,3770398409.503174,200.0
2015-02-12,3186.9749196047624,3372187851.8859863,191.6360834243315
2015-02-13,2853.6032857232203,10063185942.285156,193.60670992576397
2015-02-16,2765.7730234338815,6583545734.397888,197.6738538325169
2015-02-17,2603.10485122669,6665924807.701111,197.6433773911677
2015-02-18,2345.618112910294,5955604362.316895,195.69767844036343
2015-02-19,2147.1712384786697,4390090638.48114,197.5001851986133
2015-02-20,1851.2737085776653,5820638215.434265,197.1547456194029
2015-02-23,1715.4622728484821,3917828771.9726562,199.0819452605938
2015-02-24,1724.5519764420155,3390132502.6672363,204.27980806094226
2015-02-25,1437.152529891083,2730002628.0334473,211.15147013793973
2015-02-26,1383.3499380121973,3219980194.5739746,205.06435484791345
2015-02-27,1364.3487483430188,11171960338.146973,207.79534369416228
2015-03-02,1522.2962667413228,11155180062.36267,209.58022372923398
2015-03-03,1673.1209277146938,14215048923.165894,210.85971763117655
2015-03-04,1778.9865450755733,11301366670.440674,207.3829702191086
2015-03-05,1897.6168567543236,11406814600.292969,206.80340950402513
2015-03-06,1978.5606442544204,7886848931.710815,206.46166928357832
2015-03-09,2085.9397654618033,17138420649.54834,202.7148461405848
2015-03-10,2241.724401168971,19772809269.82422,204.18129887753133
2015-03-11,2431.4219830676852,10066186643.47229,208.44877612851977
2015-03-12,2576.454284401094,9591584088.085938,208.27831262522662
2015-03-13,2633.0851186560794,8965716721.939087,208.2689987069249
2015-03-16,2726.9828639015104,6252427768.893433,207.1452721409542
2015-03-17,2756.7836447564755,6137558190.966797,208.09531815371142
2015-03-18,2711.465012144602,14611094032.226562,204.74632374535926
2015-03-19,2620.902916975484,13759255772.338867,206.77982562633684
2015-03-20,2545.1022898149104,4831022637.625122,206.09324960943948
2015-03-23,2452.449069799329,6084845983.227539,207.05218264490705
2015-03-24,2355.231296252595,9841900400.41809,204.4508250749668
2015-03-25,2245.008195538658,8830323402.592468,204.63169661779412
2015-03-26,2136.9138233249073,6394728300.323486,204.555625881653
2015-03-27,2098.722012829302,4267401392.298889,202.3003596408407
2015-03-30,2050.5479040918863,5695474272.0703125,202.59169577084936
2015-03-31,2048.6690886230454,5537046505.859375,200.75478402061347
2015-04-01,2010.5474580617333,5656891071.008301,202.16747066230923
2015-04-02,1975.220952857987,6647099291.28418,202.38217661178368
2015-04-03,1949.2279195996157,5886689749.301147,202.07070716859397
2015-04-06,1900.637036893936,5118577914.440918,202.89228518529663
2015-04-07,1852.6157948649684,4675576196.740723,202.61254979554647
2015-04-08,1819.7548645078903,7371829996.2890625,201.7151053201649
2015-04-09,1785.6224589456235,5274001395.03479,201.6785371013357
2015-04-10,1851.4047604232992,6818231683.807373,198.18487754411947
2015-04-13,1973.108638054866,7003027091.693115,193.6948492195085
2015-04-14,2090.0543745435343,6951504212.585449,192.1598486451918
2015-04-15,2178.5606250455476,5050119977.996826,193.88955282616914
2015-04-16,2220.308419531348,5669844645.751953,194.2187632260896
2015-04-17,2285.4761372623448,4553434760.910034,193.8058359060741
2015-04-20,2258.9963742583727,4125189232.2235107,192.00302928389328
2015-04-21,2161.0909643787018,5876549011.871338,193.3345849323257
2015-04-22,2008.3110870491314,5584605708.132935,192.6520109436089
2015-04-23,1831.7574678853448,4028366727.661133,193.20515700776113
2015-04-24,1708.0701845888934,4960398066.8029785,193.49408041051993
2015-04-27,1506.8329648203994,8844477989.776611,192.59439891276304
2015-04-28,1316.5742678632323,4848926074.273682,192.67923626565502
2015-04-29,1317.1026675097928,4276013166.572571,196.0821636869548
2015-04-30,1261.8429590330506,7986093441.488647,197.00606124747426
2015-05-01,1198.4420719056805,4366635909.938049,196.32723876198125
2015-05-04,1076.1924917242202,5072774735.192871,196.68828783084928
2015-05-05,1066.6071733969245,5650163073.678589,198.92667025903478
2015-05-06,1062.8509831452232,6798605921.777344,197.9500824512579
2015-05-07,1040.415360366298,6897970298.956299,198.72947254423042
2015-05-08,1031.0736794565655,6692942147.415161,199.84804778617263
2015-05-11,1015.8800301391816,5059237682.862854,199.54793034854282
2015-05-12,1009.1306629796021,4649266241.784668,199.84861385284367
2015-05-13,1000.0,6424750467.83905,198.7779957869656
2015-05-14,1000.0,5784313548.161316,198.08300443969523
2015-05-15,1000.0,3879947017.2332764,198.00459503452268
2015-05-18,1000.0,3911957878.770447,197.2231745986138
2015-05-19,1000.0,3303366067.9641724,197.35595351053175
2015-05-20,1000.0,3627138672.4487305,198.72764864027144
