Date,Network_Activity_Score,Active_Digital_Nodes
1985-06-24,1028.4345952283209,614.2172976141604
1985-06-25,1022.0888149490577,611.0771755584151
1985-06-26,1059.282843195822,629.7069577656836
1985-06-29,995.8326433332045,598.0146259182611
1985-06-30,1029.209415744284,614.7357802076872
1985-07-01,990.6837139080137,595.5056973734384
1985-07-02,999.3032902487258,599.8482536276807
1985-07-03,1005.8496607244878,603.1542069494479
1985-07-06,1082.767002151532,641.6456457468564
1985-07-07,1049.4827795513734,625.0363025306633
1985-07-08,1021.0287242899416,610.8420429838337
1985-07-09,988.7672728058068,594.7440853256526
1985-07-10,1024.1674637063386,612.4769488598048
1985-07-13,969.815637410279,585.3338037956613
1985-07-14,1018.2821645888594,609.5998354688378
1985-07-15,1017.4803488941884,609.2316957053886
1985-07-16,1003.1241454737271,602.0863620790443
1985-07-17,948.1222209345574,574.6181678933457
1985-07-20,1052.5370070806125,626.8583290502595
1985-07-21,941.7068492363072,571.4760182119932
1985-07-22,963.9770980849299,582.6439107201909
1985-07-23,1043.5644009496932,622.4703302364588
1985-07-24,979.2824315646765,590.3621136278367
1985-07-27,1017.0322424617051,609.2697871602373
1985-07-28,888.7587623736708,545.1658152001065
1985-07-29,1019.1121454073631,610.375274800839
1985-07-30,982.468297900416,592.0861191312517
1985-07-31,978.4291228855317,590.0992997076958
1985-08-03,1028.802280758892,615.3186467282623
1985-08-04,958.5602500338794,580.2303994496422
1985-08-05,1068.1609637383503,635.063524385764
1985-08-06,1003.7776319419081,602.9046265714292
1985-08-07,1017.4834857219392,609.790321545331
1985-08-11,1021.0763670459015,611.6195302911985
1985-08-12,973.2858563507568,587.7570430275124
1985-08-13,992.1575701576667,597.2256680148537
1985-08-14,1041.4119296359347,621.885615837874
1985-08-17,1063.1676788514903,632.7962585295381
1985-08-18,1036.299708513918,619.3950414446382
1985-08-19,993.4339876587476,597.9949491009393
1985-08-20,951.6398035516746,577.1306251312891
1985-08-21,1082.840672581722,642.7638277301991
1985-08-24,981.9987886085486,592.3756538274987
1985-08-25,1021.6478283025078,612.2329417583646
1985-08-26,966.9336600960756,584.9086257390347
1985-08-27,988.2338998471134,595.5915136984399
1985-08-28,975.1492372332441,589.0819504753916
1985-08-31,1095.4900478636096,649.2851238744606
1985-09-01,950.7101605825941,576.9279483178392
1985-09-02,987.3604288784081,595.2858505496325
1985-09-03,1019.1652140255205,611.221011207075
1985-09-04,946.2900110623856,574.8161778093938
1985-09-07,1035.9842451212235,619.6960629226991
1985-09-08,992.0336789510602,597.7535479215037
1985-09-09,1024.048002170033,613.7934776148765
1985-09-10,1105.5673785714196,654.585933899456
1985-09-11,978.179401480344,590.9247134378045
1985-09-14,1007.9976144095587,605.8665879862981
1985-09-15,976.3251051638938,590.063101447352
1985-09-16,1015.4245739287619,609.6456039136724
1985-09-17,919.4187266789664,561.6754483726609
1985-09-18,1018.7514595757059,611.3745829049169
1985-09-21,969.7225484126076,586.8928954072541
1985-09-22,1025.840320504788,614.9845495372306
1985-09-23,928.5624178584992,566.3783662979724
1985-09-24,945.3592130546543,574.8095319799363
1985-09-28,1017.3870835179615,610.8562352954762
1985-09-29,1067.2487181284118,635.8198206845876
1985-09-30,1014.5030206186423,609.4797400135892
1985-10-01,1004.8402258270586,604.6811107016837
1985-10-02,998.6569823155098,601.6222570297955
1985-10-05,981.2936637275592,592.9733658197065
1985-10-06,1066.9331009773746,635.8258525285005
1985-10-07,1017.2741566886255,611.0291484680122
1985-10-08,1064.4458511854727,634.6477638003222
1985-10-09,990.8370396698327,597.8761261263885
1985-10-12,965.1536232950336,585.0671860228753
1985-10-13,962.1502669432368,583.5982759308631
1985-10-14,951.6479987500481,578.379909918155
1985-10-15,970.811848865083,587.9946030595588
1985-10-16,967.8700781990611,586.5564858104342
1985-10-19,1005.0228802178134,605.1656549036966
1985-10-20,953.3944858875235,579.3842258224379
1985-10-21,973.874685979581,589.657093952353
1985-10-22,1019.1664466844188,612.3357423886582
1985-10-23,950.9847887874535,578.2776815240618
1985-10-26,921.0237939862207,563.3299522073316
1985-10-27,986.243460236483,595.9725534163491
1985-10-28,926.388295371094,566.077739067541
1985-10-29,1042.4242239614211,624.1284714465908
1985-10-30,1015.6630024196909,610.780628759612
1985-11-02,1015.0840727085255,610.5239319879156
1985-11-03,967.4329826741091,586.7311550545937
1985-11-04,953.8595158343271,579.977189718589
1985-11-05,984.0510488261572,595.1057242983903
1985-11-06,1026.0969514420847,616.1614436902403
1985-11-09,1047.0699883827544,626.6807302444615
1985-11-10,1072.162930610242,639.2599694420916
1985-11-11,908.7168515150667,557.5696979783902
1985-11-12,1028.4526451067882,617.4703628581373
1985-11-13,1018.6442507405067,612.5989337588828
1985-11-17,1015.6719799821927,611.1455664636121
1985-11-18,1003.7987761442874,605.2417326285458
1985-11-19,1023.0984010505093,614.924313165543
1985-11-20,1013.8338891721495,610.3248253102494
1985-11-23,1000.4957282732396,603.6885129446807
1985-11-24,1000.1115593253196,603.5291965546071
1985-11-25,1004.4910877836011,605.751728867634
1985-11-26,1083.2197640688996,645.1488350941696
1985-11-27,1032.5051988849955,619.8243205861039
1985-11-30,1016.7250770849128,611.9670277699488
1985-12-01,1041.5594436804993,624.4169791516283
1985-12-02,982.4011062546708,594.8705785226005
1985-12-03,1025.7279626225786,616.5667747904406
1985-12-04,1007.3672836725711,607.4192033993231
1985-12-07,1020.9768976986691,614.2567784962584
1985-12-08,963.3270687413108,585.4646321014656
1985-12-09,1072.197847972853,639.9327898011229
1985-12-10,1008.7259442190035,608.2296060080845
1985-12-11,979.6614547895376,593.7301293772379
1985-12-14,957.650898052574,582.7576190926424
1985-12-15,1017.1815551943031,612.5557157473932
1985-12-16,1057.928542741702,632.9619776049789
1985-12-17,1018.8865692299594,613.473758932994
1985-12-18,1016.270554271015,612.1985195374081
1985-12-21,986.3251831952145,597.2586020833942
1985-12-22,977.0101952683248,592.6338762038355
1985-12-23,956.5437813598496,582.4334373334842
1985-12-24,994.8996157981812,601.6441226365364
1985-12-28,930.9435870914651,569.6988763670646
1985-12-29,1037.5616750518386,623.0406884311376
1985-12-30,999.0112858221677,603.7982619001884
1985-12-31,991.5801081446341,600.115441145308
1986-01-01,948.0590140322299,578.3876621729921
1986-01-04,947.3878914309396,578.0848689562333
1986-01-05,944.0070697306253,576.4272261899624
1986-01-06,1076.6822699196985,642.7975943683853
1986-01-07,958.1310255452917,583.5547402650682
1986-01-08,1047.8166237962603,628.4303074744388
1986-01-11,966.2745339177732,587.6920306190816
1986-01-12,1001.4948147091942,605.3349390986783
1986-01-13,964.1535711961455,586.6970854260403
1986-01-14,1027.8858105726956,618.5959731982017
1986-01-15,1035.6821992750713,622.5269356332758
1986-01-18,1048.8235657062392,629.130386932746
1986-01-19,944.882070433938,577.1924073804818
1986-01-20,991.3055415510817,600.4369110229399
1986-01-21,1017.7430277170798,613.6884221898252
1986-01-22,1013.6638128903444,611.6815828603438
1986-01-25,1052.1156460538637,630.9402675259897
1986-01-26,942.5074799509214,576.168952558405
1986-01-27,1052.4308550005276,631.1634081670943
1986-01-28,946.971163871524,578.4663306864788
1986-01-29,971.6699053524906,590.8484695108484
1986-02-01,1042.9830580805772,626.537813958778
1986-02-02,1038.937054945643,624.5475804751972
1986-02-03,1002.4191804158136,606.3214112941688
1986-02-04,1003.9210386183046,607.1051084793006
1986-02-05,988.2892270619745,599.3219707850219
1986-02-08,988.7309582811206,599.5756044784812
1986-02-09,1014.6138687287796,612.5498277861969
1986-02-10,993.8385402866536,602.1949316490202
1986-02-11,976.4069130289093,593.5118861040344
1986-02-12,1038.75307157515,624.717733461041
1986-02-15,958.3067964651217,584.5273639899132
1986-02-16,1094.1320237323719,652.4727457074246
1986-02-17,998.0439831990898,604.4614935246698
1986-02-18,983.9196527032459,597.4320963606342
1986-02-19,1059.996814771347,635.503445478571
1986-02-23,1072.8804516934608,641.9780320235143
1986-02-24,997.2282272085764,604.1846878649583
1986-02-25,972.8762147773339,592.0414497332233
1986-02-26,1015.1784139824694,613.2253174196774
1986-03-01,1062.048387162045,636.6930720933515
1986-03-02,972.1823100689832,591.7928016307069
1986-03-03,982.1026124398458,596.7857209000244
