Date,finbert_count,finbert_sentiment,finbert_sentiment_std,finbert_positive,finbert_negative,finbert_neutral,finbert_bull_ratio,finbert_bear_ratio,finbert_Index_A_ticker_sent,finbert_Index_B_ticker_sent,finbert_Index_C_ticker_sent,finbert_Index_D_ticker_sent,finbert_Index_E_ticker_sent,finbert_Index_F_ticker_sent
1985-06-25,2,-0.07034977,0.11847903,0.030448712,0.10079848,0.86875284,0.0,0.0,0.013427559,0.0,0.0,0.013427559,0.013427559,-0.15412709
1985-06-26,4,0.14569789,0.4494904,0.27835128,0.13265337,0.58899534,0.0,0.0,0.027261242,-0.44863573,0.027261242,-0.44863573,0.027261242,0.14569792
1985-06-29,5,0.17022416,0.25173977,0.21472397,0.04449978,0.74077624,0.0,0.0,0.19356199,0.2598431,0.1288143,0.061108008,0.19356199,0.2598431
1985-06-30,3,0.5359247,0.67804146,0.6355743,0.099649616,0.26477608,0.6666667,0.0,-0.24699645,0.0,0.92336786,-0.24699645,-0.24699645,0.0
1985-07-01,9,0.1950144,0.47062275,0.29190922,0.09689483,0.6111959,0.22222222,0.0,0.2355015,0.6533018,0.21820061,0.37434965,0.23550151,0.13120185
1985-07-02,4,0.1834676,0.4980752,0.2614847,0.07801711,0.66049814,0.25,0.0,0.34701735,0.34701735,0.34701735,-0.11047231,0.34701735,0.24595799
1985-07-03,4,0.22641815,0.6951943,0.42716524,0.20074706,0.3720877,0.5,0.0,-0.21694106,-0.3611031,0.23976758,-0.21694106,-0.21694106,-0.21694106
1985-07-06,1,0.91097575,0.0,0.92653954,0.01556376,0.057896655,1.0,0.0,0.91097575,0.91097575,0.91097575,0.0,0.91097575,0.91097575
1985-07-07,3,-0.23366529,0.7653248,0.23859465,0.4722599,0.28914544,0.33333334,0.6666667,-0.63477,0.007034451,-0.63477,-0.63477,-0.63477,0.0
1985-07-08,3,-0.458531,0.26471508,0.025876781,0.48440775,0.4897155,0.0,0.6666667,-0.63477,-0.63477,-0.63477,-0.6107329,-0.63477,-0.15412709
1985-07-09,7,-0.12542507,0.46556813,0.16183539,0.28726047,0.5509042,0.0,0.14285715,-0.059974954,-0.28677684,-0.30777872,-0.029556304,-0.059974946,-0.05544
1985-07-10,3,0.0015303288,0.008529298,0.03998187,0.03845154,0.92156667,0.0,0.0,0.0,0.0050999783,-0.008203844,0.0,0.0,0.0
1985-07-13,5,-0.032561578,0.36968848,0.14192705,0.17448863,0.68358433,0.0,0.0,-0.19592631,0.05928352,-0.19592631,-0.21694106,-0.19592631,-0.18312778
1985-07-14,2,0.4963094,0.61531466,0.5116845,0.015375068,0.47294042,0.5,0.0,0.061216265,0.061216265,0.061216265,0.061216265,0.061216265,0.061216265
1985-07-15,8,0.32647222,0.50319684,0.39011216,0.06363992,0.54624796,0.375,0.0,0.5298526,0.48729417,0.9174867,-0.018701976,0.5298527,0.6267979
1985-07-16,3,0.23412018,0.26292136,0.24693449,0.012814342,0.74025124,0.0,0.0,0.0,0.30437556,0.0,0.53744245,0.0,0.09360936
1985-07-17,3,-0.0876682,0.6398224,0.244482,0.3321502,0.42336783,0.33333334,0.0,0.0,0.121662825,-0.50633025,-0.40551293,0.0,0.0
1985-07-20,5,0.07655964,0.5443619,0.245597,0.16903736,0.58536565,0.2,0.0,0.3902975,0.9318259,0.2774922,0.9318259,0.3902975,-0.3537377
1985-07-21,6,0.03461905,0.41002288,0.16624291,0.13162388,0.7021332,0.16666667,0.16666667,-0.2742145,0.0007663965,-0.1855443,-0.17308713,-0.2742145,0.08634097
1985-07-22,7,0.054856546,0.6394037,0.2898614,0.23500483,0.47513375,0.2857143,0.14285715,-0.26245064,0.09718239,-0.26245064,0.09718239,-0.26245064,0.05487834
1985-07-23,8,-0.02999384,0.44775295,0.15655322,0.18654707,0.65689975,0.125,0.0,-0.028774295,-0.2467189,0.13585873,-0.19941674,-0.028774306,0.18334047
1985-07-24,5,-0.03547417,0.32291713,0.1186082,0.15408237,0.72730947,0.0,0.0,-0.20232332,-0.23203334,-0.31019878,0.013427559,-0.20232333,-0.06529946
1985-07-27,3,-0.06336556,0.4140926,0.15758651,0.22095208,0.62146145,0.0,0.0,0.09720053,-0.20960277,-0.20960277,0.09720053,0.09720053,-0.38449773
1985-07-28,3,0.4753923,0.42606375,0.48949456,0.01410225,0.4964032,0.33333334,0.0,0.24773622,0.40913147,0.24773622,0.0,0.24773622,0.47539234
1985-07-29,6,0.1401755,0.6486425,0.33873132,0.19855581,0.46271288,0.33333334,0.16666667,0.033716843,-0.35795507,0.024622539,-0.25321636,0.033716843,0.5456591
1985-07-30,5,0.13681182,0.7405359,0.39660668,0.25979486,0.34359846,0.4,0.0,0.08597388,0.21328038,0.3902975,0.20457625,0.08597388,-0.15123087
